Authors,Frequency
港台電視31,3
智慧國家觀測報告,4
精選書摘,35
TNL Marketing,1
精選轉載,2
Readmoo閱讀最前線,6
TNL特稿,2
TNL 編輯,2
台灣科技媒體中心,6
臺大科教中心,3
《科學人》粉絲團,2
廣編企劃,8
物理雙月刊PSROC,1
AI法律評論網,2
市場快訊,2
讀者投書,2
研之有物│中央研究院,1
《思想坦克》,1
明日科學編輯群,2
林煜軒,1
FORTUNE,7
孫憶明 (Jim),1
TNL 節目組,1
50+（Fifty Plus）,1
辣台妹聊性別,1
TIME,2
英語島,1
